"Carimbo de data/hora","1. O que você considera mais importante ao escolher um consultório odontológico para atendimento?","2. Quais fatores mais influenciam sua decisão de retornar ao mesmo consultório odontológico para tratamentos futuros?","3. Que serviços adicionais ou comodidades você gostaria de ver sendo oferecidos em consultórios odontológicos para melhorar sua experiência?","4. O que você mais valoriza em um consultório odontológico?","5. Quais canais de comunicação você prefere para agendar consultas ou receber informações do consultório?","6. Já experimentou algum problema ou desconforto que te fez buscar outro consultório odontológico? Se sim, qual?","7.  Qual das formas de pagamento abaixo deveriam ser obrigatoriamente oferecidas pelo consultório odontológico como opção?","8.  Na sua opinião, o que mais te afastaria de um consultório e te levaria a buscar outro atendimento odontológico?","9. Como conheceu os consultórios odontológicos nos quais já foi ou é atendido(a)"
"2024/04/14 10:37:48 PM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Qualidade dos tratamentos","Whatsapp","Perceber que a dentista não era adequadamente segura dos procedimentos.","Todas as opções acima","Falta de higiene perceptível no consultório","Por pesquisa na internet dos consultórios próximos"
"2024/04/14 10:40:11 PM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Experiência do dentista","Whatsapp","Sim","Todas as opções acima","Preços muito elevados em comparação com outros consultórios da região","Por indicação"
"2024/04/14 10:40:22 PM GMT-3","Boas recomendações","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Serviços complementares como consultas de nutrição ou terapia relaxante","Qualidade dos tratamentos","Whatsapp","Sim. Procedimentos inadequado. ","Todas as opções acima","Falta de higiene perceptível no consultório","Por indicação"
"2024/04/14 11:00:19 PM GMT-3","Boas recomendações","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Qualidade dos tratamentos","Whatsapp","Diagnósticos errados para realizar serviços mais caros.","Todas as opções acima","Falta de higiene perceptível no consultório","Por indicação"
"2024/04/14 11:04:33 PM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Atendimento respeitoso e pontual","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Qualidade dos tratamentos","Whatsapp","Sim atendimento sempre atrasado","Pix","Demora excessiva no agendamento de consultas e espera prolongada no consultório","Por pesquisa na internet dos consultórios próximos"
"2024/04/14 11:09:32 PM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Qualidade dos tratamentos","Whatsapp","","Todas as opções acima","Falta de higiene perceptível no consultório","Por indicação"
"2024/04/14 11:10:40 PM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Entretenimento durante o procedimento (TVs ou música)","Qualidade dos tratamentos","Whatsapp","Sim. Atendimento ruim ","Todas as opções acima","Atendimento rude ou falta de empatia por parte da equipe","Por indicação"
"2024/04/14 11:20:32 PM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Qualidade dos tratamentos","Whatsapp","Sim. Procedimentos que não precisavam serem feitos e o dentista disse que haviam vários problemas","Todas as opções acima","Preços muito elevados em comparação com outros consultórios da região","Por pesquisa na internet dos consultórios próximos"
"2024/04/15 12:10:17 AM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Qualidade dos tratamentos","Whatsapp","Dentista que não explicou sobre o processo, fazendo com que eu gastasse além do que foi explicado no início do tratamento que seria mais longo do que o informado.","Cartão crédito/débito","Atendimento rude ou falta de empatia por parte da equipe","Por indicação"
"2024/04/15 4:18:07 AM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Atmosfera geral do consultório","Whatsapp","Não ","Todas as opções acima","Atendimento rude ou falta de empatia por parte da equipe","Por indicação"
"2024/04/15 6:52:34 AM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Experiência do dentista","Whatsapp","Sim,  ambiente de atendimento sem limpeza adequada. ","Todas as opções acima","Falta de higiene perceptível no consultório","Por indicação"
"2024/04/15 8:53:52 AM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Qualidade dos tratamentos","Whatsapp","Não ","Cartão crédito/débito","Preços muito elevados em comparação com outros consultórios da região","Por indicação"
"2024/04/15 8:55:15 AM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Sistema de lembretes de consulta digital e informações sobre cuidados pós-tratamento","Atmosfera geral do consultório","Whatsapp","Sim","Todas as opções acima","Preços muito elevados em comparação com outros consultórios da região","Por indicação"
"2024/04/15 8:58:49 AM GMT-3","Atmosfera do ambiente","Ambiente confortável","Entretenimento durante o procedimento (TVs ou música)","Qualidade dos tratamentos","Whatsapp","Sim","Todas as opções acima","Demora excessiva no agendamento de consultas e espera prolongada no consultório","Nunca fui a um consultório odontológico"
"2024/04/16 8:38:45 AM GMT-3","Esclarecimento do dentista acerca dos procedimentos a serem feitos","Qualidade no atendimento do dentista e esclarecimento a cerca dos procedimentos","Entretenimento durante o procedimento (TVs ou música)","Qualidade dos tratamentos","Whatsapp","Sim","Todas as opções acima","Demora excessiva no agendamento de consultas e espera prolongada no consultório","Por indicação"
